file,cuttlefish,background,year,month,day,hour,minute,second,screen,view distance,replicate,folder
6_Uniform_2012_12_5_14_29_5_Static_210_23.png,6,Uniform,2012,12,5,14,29,5,Static,210,23,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_42_12_Checkerboard_2_210_6.png,6,Uniform,2012,12,5,14,42,12,Checkerboard2,210,6,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_53_54_Checkerboard_2_10_10.png,6,Uniform,2012,12,5,14,53,54,Checkerboard2,10,10,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_51_39_Uniform_17.png,6,Uniform,2012,12,5,13,51,39,Uniform,nan,17,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_24_5_Checkerboard_4_610_24.png,6,Uniform,2012,12,5,14,24,5,Checkerboard4,610,24,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_43_2_Checkerboard_2_210_10.png,6,Uniform,2012,12,5,14,43,2,Checkerboard2,210,10,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_44_38_Checkerboard_4_10_7.png,6,Uniform,2012,12,5,13,44,38,Checkerboard4,10,7,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_20_22_Checkerboard_4_610_4.png,6,Uniform,2012,12,5,14,20,22,Checkerboard4,610,4,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_47_20_Checkerboard_4_210_5.png,6,Uniform,2012,12,5,14,47,20,Checkerboard4,210,5,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_28_54_Static_210_22.png,6,Uniform,2012,12,5,14,28,54,Static,210,22,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
